producto,marca,dueno,empresa,categoria,precio,precio_lista,precio_referencia,desvio_referencia_pct,estado_referencia,producto_referencia,fuente_referencia,super,local,sku,url
Asado CAMPOSUR al vacío x 800 g,Camposur,Competencia,Camposur,Carnes y cortes,388,,,,,,,geant,,374139,https://www.geant.com.uy/product/asado-camposur-al-vacio-x-800-g/374139
Asado Del Centro CAMPOSUR al vacío x 1 kg,Camposur,Competencia,Camposur,Carnes y cortes,595,,,,,,,devoto,,374162,https://www.devoto.com.uy/product/asado-del-centro-camposur-al-vacio-x-1-kg/374162
Asado Del Centro CAMPOSUR al vacío x 1 kg,Camposur,Competencia,Camposur,Carnes y cortes,595,,,,,,,disco,,374162,https://www.disco.com.uy/product/asado-del-centro-camposur-al-vacio-x-1-kg/374162
Baby ribs CAMPOSUR al vacío x 500 g,Camposur,Competencia,Camposur,Carnes y cortes,345,,,,,,,disco,,374166,https://www.disco.com.uy/product/baby-ribs-camposur-al-vacio-x-500-g/374166
Baby Ribs CAMPOSUR Envasado al Vacío (Kg),Camposur,Competencia,Camposur,Carnes y cortes,729,,,,,,,tiendainglesa,,313508,"https://www.tiendainglesa.com.uy/supermercado/baby-ribs-camposur-envasado-al-vacio-kg.producto?313508,,42"
Bondiola Agridulce Rellena CAMPOSUR Envasado al Vacío Congelado (Kg),Camposur,Competencia,Camposur,Carnes y cortes,749,,,,,,,tiendainglesa,,243341,"https://www.tiendainglesa.com.uy/supermercado/bondiola-agridulce-rellena-camposur-envasado-al-vacio-congelado-kg.producto?243341,,42"
Bondiola al Vacío CAMPOSUR x kg,Camposur,Competencia,Camposur,Carnes y cortes,305,435,,,,,,devoto,,374141,https://www.devoto.com.uy/product/bondiola-al-vacio-camposur-x-kg/374141
Bondiola al Vacío CAMPOSUR x kg,Camposur,Competencia,Camposur,Carnes y cortes,305,435,,,,,,disco,,374141,https://www.disco.com.uy/product/bondiola-al-vacio-camposur-x-kg/374141
Bondiola al Vacío CAMPOSUR x kg,Camposur,Competencia,Camposur,Carnes y cortes,305,435,,,,,,geant,,374141,https://www.geant.com.uy/product/bondiola-al-vacio-camposur-x-kg/374141
Bondiola Camposur Rellena Agridulce 1 Kg,Camposur,Competencia,Camposur,Carnes y cortes,678,678,,,,,,tata,,173199,https://www.tata.com.uy/bondiola-camposur-rellena-agridulce-1-kg-1000592537-173199/p
Bondiola Camposur Rellena Salada 1 Kg,Camposur,Competencia,Camposur,Carnes y cortes,699,699,,,,,,tata,,173187,https://www.tata.com.uy/bondiola-camposur-rellena-salada-1-kg-1000592536-173187/p
Bondiola de Cerdo CAMPOSUR Envasado al Vacío (Kg),Camposur,Competencia,Camposur,Carnes y cortes,479,,,,,,,tiendainglesa,,54340,"https://www.tiendainglesa.com.uy/supermercado/bondiola-de-cerdo-camposur-envasado-al-vacio-kg.producto?54340,,42"
Bondiola Rellena Agridulce CAMPOSUR x kg,Camposur,Competencia,Camposur,Carnes y cortes,679,679,,,,,,devoto,,374184,https://www.devoto.com.uy/product/bondiola-rellena-agridulce-camposur-x-kg/374184
Bondiola Rellena Agridulce CAMPOSUR x kg,Camposur,Competencia,Camposur,Carnes y cortes,679,679,,,,,,disco,,374184,https://www.disco.com.uy/product/bondiola-rellena-agridulce-camposur-x-kg/374184
Bondiola Rellena Agridulce CAMPOSUR x kg,Camposur,Competencia,Camposur,Carnes y cortes,679,679,,,,,,geant,,374184,https://www.geant.com.uy/product/bondiola-rellena-agridulce-camposur-x-kg/374184
Butifarra al vacio CAMPOSUR x 300 g,Camposur,Competencia,Camposur,Carnes y cortes,176,,,,,,,devoto,,301033,https://www.devoto.com.uy/product/butifarra-al-vacio-camposur-x-300-g/301033
Butifarra al vacio CAMPOSUR x 300 g,Camposur,Competencia,Camposur,Carnes y cortes,176,,,,,,,disco,,301033,https://www.disco.com.uy/product/butifarra-al-vacio-camposur-x-300-g/301033
Butifarra al vacio CAMPOSUR x 300 g,Camposur,Competencia,Camposur,Carnes y cortes,176,,,,,,,geant,,301033,https://www.geant.com.uy/product/butifarra-al-vacio-camposur-x-300-g/301033
Kassler envasado al vacío CAMPOSUR x 400 g,Camposur,Competencia,Camposur,Carnes y cortes,318,,,,,,,geant,,300344,https://www.geant.com.uy/product/kassler-envasado-al-vacio-camposur-x-400-g/300344
